Model,MAE,MSE,RMSE
ANN,46083.66616419119,4376368566.800269,66154.12736028092
Ridge,50686.343253752515,4901199939.50531,70008.5704718023
Lasso,50700.669112566364,4903968630.040656,70028.34161995168
